,swap,grade a,grade b,grade c,grade d,doa,ModelName
10,$840,$830,$800,$625,$350,$225,iphone 15 pro max 256gb unlocked
11,$885,$875,$845,$670,$395,$225,iphone 15 pro max 512gb unlocked
12,$915,$905,$875,$700,$425,$225,iphone 15 pro max 1tb unlocked
13,$605,$595,$575,$435,$275,$225,iphone 15 pro max 256gb carrier locked
14,$640,$630,$610,$470,$310,$225,iphone 15 pro max 512gb carrier locked
15,$675,$665,$645,$505,$345,$225,iphone 15 pro max 1tb carrier locked
19,$750,$740,$700,$540,$315,$180,iphone 15 pro 128gb unlocked
20,$810,$800,$760,$600,$375,$180,iphone 15 pro 256gb unlocked
21,$860,$850,$810,$650,$425,$180,iphone 15 pro 512gb unlocked
22,$905,$895,$855,$695,$470,$180,iphone 15 pro 1tb unlocked
23,$470,$460,$440,$310,$180,$180,iphone 15 pro 128gb carrier locked
24,$510,$500,$480,$350,$150,$180,iphone 15 pro 256gb carrier locked
25,$540,$530,$510,$380,$200,$180,iphone 15 pro 512gb carrier locked
26,$570,$560,$540,$410,$200,$180,iphone 15 pro 1tb carrier locked
30,$560,$550,$515,$390,$240,$135,iphone 15 plus 128gb unlocked
31,$615,$605,$570,$445,$295,$135,iphone 15 plus 256gb unlocked
32,$655,$645,$610,$485,$335,$135,iphone 15 plus 512gb unlocked
33,$410,$400,$385,$260,$125,$135,iphone 15 plus 128gb carrier locked
34,$435,$425,$410,$285,$150,$135,iphone 15 plus 256gb carrier locked
35,$460,$450,$435,$310,$175,$135,iphone 15 plus 512gb carrier locked
39,$505,$495,$465,$335,$205,$85,iphone 15 128gb unlocked
40,$550,$540,$510,$380,$250,$85,iphone 15 256gb unlocked
41,$575,$565,$535,$405,$275,$85,iphone 15 512gb unlocked
42,$360,$350,$335,$225,$110,$85,iphone 15 128gb carrier locked
43,$390,$380,$365,$255,$140,$85,iphone 15 256gb carrier locked
44,$415,$405,$390,$280,$165,$85,iphone 15 512gb carrier locked
48,$675,$665,$640,$500,$315,$180,iphone 14 pro max 128gb unlocked
49,$705,$695,$665,$525,$340,$180,iphone 14 pro max 256gb unlocked
50,$720,$710,$680,$540,$355,$180,iphone 14 pro max 512gb unlocked
51,$735,$725,$695,$555,$370,$180,iphone 14 pro max 1tb unlocked
52,$500,$490,$475,$345,$220,$180,iphone 14 pro max 128gb carrier locked
53,$520,$510,$495,$365,$240,$180,iphone 14 pro max 256gb carrier locked
54,$555,$545,$530,$400,$275,$180,iphone 14 pro max 512gb carrier locked
55,$585,$575,$560,$430,$305,$180,iphone 14 pro max 1tb carrier locked
59,$590,$580,$555,$430,$255,$150,iphone 14 pro 128gb unlocked
60,$620,$610,$585,$460,$285,$150,iphone 14 pro 256gb unlocked
61,$635,$625,$600,$475,$300,$150,iphone 14 pro 512gb unlocked
62,$655,$645,$620,$495,$320,$150,iphone 14 pro 1tb unlocked
63,$425,$415,$400,$280,$180,$150,iphone 14 pro 128gb carrier locked
64,$445,$435,$420,$300,$200,$150,iphone 14 pro 256gb carrier locked
65,$465,$455,$440,$320,$220,$150,iphone 14 pro 512gb carrier locked
66,$485,$475,$460,$340,$240,$150,iphone 14 pro 1tb carrier locked
70,$430,$420,$395,$295,$180,$120,iphone 14 plus 128gb unlocked
71,$460,$450,$425,$325,$210,$120,iphone 14 plus 256gb unlocked
72,$480,$470,$445,$345,$230,$120,iphone 14 plus 512gb unlocked
73,$325,$315,$300,$200,$135,$120,iphone 14 plus 128gb carrier locked
74,$340,$330,$315,$215,$150,$120,iphone 14 plus 256gb carrier locked
75,$350,$340,$325,$215,$150,$120,iphone 14 plus 512gb carrier locked
79,$410,$400,$380,$280,$180,$70,iphone 14 128gb unlocked
80,$435,$425,$405,$305,$205,$70,iphone 14 256gb unlocked
81,$450,$440,$420,$320,$220,$70,iphone 14 512gb unlocked
82,$300,$290,$275,$185,$110,$70,iphone 14 128gb carrier locked
83,$310,$300,$285,$195,$120,$70,iphone 14 256gb carrier locked
84,$320,$310,$295,$205,$130,$70,iphone 14 512gb carrier locked
88,$470,$460,$440,$310,$210,$140,iphone 13 pro max 128gb unlocked
89,$495,$485,$460,$330,$230,$140,iphone 13 pro max 256gb unlocked
90,$515,$505,$480,$350,$250,$140,iphone 13 pro max 512gb unlocked
91,$540,$530,$500,$370,$270,$140,iphone 13 pro max 1tb unlocked
92,$395,$390,$380,$265,$175,$140,iphone 13 pro max 128gb carrier locked
93,$405,$400,$390,$275,$185,$140,iphone 13 pro max 256gb carrier locked
94,$420,$415,$405,$290,$200,$140,iphone 13 pro max 512gb carrier locked
95,$430,$425,$415,$300,$210,$140,iphone 13 pro max 1tb carrier locked
99,$410,$400,$375,$245,$165,$95,iphone 13 pro 128gb unlocked
100,$435,$425,$400,$270,$190,$95,iphone 13 pro 256gb unlocked
101,$450,$440,$415,$285,$205,$95,iphone 13 pro 512gb unlocked
102,$465,$455,$420,$290,$210,$95,iphone 13 pro 1tb unlocked
103,$320,$315,$300,$190,$120,$95,iphone 13 pro 128gb carrier locked
104,$330,$325,$310,$200,$130,$95,iphone 13 pro 256gb carrier locked
105,$345,$340,$325,$215,$145,$95,iphone 13 pro 512gb carrier locked
106,$365,$360,$345,$235,$165,$95,iphone 13 pro 1tb carrier locked
110,$335,$325,$305,$205,$140,$65,iphone 13 128gb unlocked
111,$360,$350,$330,$230,$165,$65,iphone 13 256gb unlocked
112,$375,$365,$345,$245,$180,$65,iphone 13 512gb unlocked
113,$235,$235,$225,$130,$90,$65,iphone 13 128gb carrier locked
114,$240,$240,$230,$135,$95,$65,iphone 13 256gb carrier locked
115,$245,$245,$235,$140,$100,$65,iphone 13 512gb carrier locked
119,$310,$300,$280,$180,$130,$65,iphone 13 mini 128gb unlocked
120,$335,$325,$305,$205,$155,$65,iphone 13 mini 256gb unlocked
121,$350,$340,$320,$220,$170,$65,iphone 13 mini 512gb unlocked
122,$260,$215,$205,$125,$85,$65,iphone 13 mini 128gb carrier locked
123,$270,$220,$210,$130,$90,$65,iphone 13 mini 256gb carrier locked
124,$280,$225,$215,$135,$95,$65,iphone 13 mini 512gb carrier locked
128,$135,$125,$115,$65,$60,$15,iphone se (3rd gen) 64gb unlocked
129,$150,$140,$130,$80,$70,$15,iphone se (3rd gen) 128gb unlocked
130,$155,$145,$135,$85,$75,$15,iphone se (3rd gen) 256gb unlocked
131,$95,$95,$95,$55,$35,$15,iphone se (3rd gen) 64gb carrier locked
132,$95,$95,$95,$55,$35,$15,iphone se (3rd gen) 128gb carrier locked
